State,District,PVI
Indiana,3,R+13
Indiana,4,R+13
Indiana,5,R+11
Indiana,6,R+12
Indiana,7,D+9
Indiana,8,R+8
Indiana,9,R+9
Iowa,1,D+5
Iowa,2,D+4
Iowa,3,R+1
Iowa,4,R+4
Kansas,1,R+22
Kansas,2,R+7
Kansas,3,R+5
Kansas,4,R+14
Kentucky,1,R+14
Kentucky,2,R+15
Kentucky,3,D+3
Kentucky,4,R+15
Kentucky,5,R+16
Kentucky,6,R+7
Louisiana,1,R+23
Louisiana,2,D+22
Louisiana,3,R+15
Louisiana,4,R+11
Louisiana,5,R+14
Louisiana,6,R+19
Maine,1,D+8
Maine,2,D+3
Maryland,1,R+14
Maryland,2,D+7
Maryland,3,D+7
Maryland,4,D+23
Maryland,5,D+11
Maryland,6,D+2
Maryland,7,D+23
Maryland,8,D+10
Massachusetts,1,D+14
Massachusetts,2,D+10
Massachusetts,3,D+8
Massachusetts,4,D+11
Massachusetts,5,D+16
Massachusetts,6,D+7
Massachusetts,7,D+29
Massachusetts,8,D+9
Massachusetts,9,D+8
Michigan,1,R+4
Michigan,2,R+7
Michigan,3,R+5
Michigan,4,R+4
Michigan,5,D+10
Michigan,6,R+1
Michigan,7,R+3
Michigan,8,R+2
Michigan,9,D+5
Michigan,10,R+5
Michigan,11,R+4
Michigan,12,D+14
Michigan,13,D+34
Michigan,14,D+27
Minnesota,1,R+1
Minnesota,2,R+2
Minnesota,3,R+2
Minnesota,4,D+11
Minnesota,5,D+22
Minnesota,6,R+8
Minnesota,7,R+5
Minnesota,8,D+3
Mississippi,1,R+14
Mississippi,2,D+10
Mississippi,3,R+15
Mississippi,4,R+20
Missouri,1,D+27
Missouri,2,R+7
Missouri,3,R+9
Missouri,4,R+11
Missouri,5,D+9
Missouri,6,R+9
Missouri,7,R+17
Missouri,8,R+13
Montana,AL,R+7
Nebraska,1,R+11
Nebraska,2,R+6
Nebraska,3,R+23
Nevada,1,D+11
Nevada,2,R+5
Nevada,3,EVEN
Nevada,4,D+2
New Hampshire,1,EVEN
New Hampshire,2,D+3
New Jersey,1,D+12
New Jersey,2,EVEN
New Jersey,3,R+2
New Jersey,4,R+7
New Jersey,5,R+4
New Jersey,6,D+6
New Jersey,7,R+6
New Jersey,8,D+19
New Jersey,9,D+11
New Jersey,10,D+31
New Jersey,11,R+5
New Jersey,12,D+12
New Mexico,1,D+5
New Mexico,2,R+6
New Mexico,3,D+7
New York,1,EVEN
New York,2,EVEN
New York,3,D+3
New York,4,D+3
New York,5,D+33
New York,6,D+12
New York,7,D+31
New York,8,D+33
New York,9,D+31
New York,10,D+24
New York,11,R+4
New York,12,D+28
New York,13,D+41
New York,14,D+23
New York,15,D+41
New York,16,D+19
New York,17,D+5
New York,18,R+2
New York,19,EVEN
New York,20,D+7
New York,21,R+2
New York,22,R+3
New York,23,R+3
New York,24,D+4
New York,25,D+5
New York,26,D+13
New York,27,R+7
North Carolina,1,D+17
North Carolina,2,R+11
North Carolina,3,R+10
North Carolina,4,D+17
North Carolina,5,R+12
North Carolina,6,R+11
North Carolina,7,R+11
North Carolina,8,R+12
North Carolina,9,R+10
North Carolina,10,R+11
North Carolina,11,R+12
North Carolina,12,D+23
North Carolina,13,R+9
North Dakota,AL,R+10
Ohio,1,R+6
Ohio,2,R+9
Ohio,3,D+14
Ohio,4,R+9
Ohio,5,R+8
Ohio,6,R+5
Ohio,7,R+5
Ohio,8,R+14
Ohio,9,D+15
Ohio,10,R+2
Ohio,11,D+30
Ohio,12,R+8
Ohio,13,D+12
Ohio,14,R+3
Ohio,15,R+6
Ohio,16,R+5
Oklahoma,1,R+16
Oklahoma,2,R+14
Oklahoma,3,R+24
Oklahoma,4,R+18
Oklahoma,5,R+13
Oregon,1,D+6
Oregon,2,R+10
Oregon,3,D+21
Oregon,4,D+2
Oregon,5,EVEN
Pennsylvania,1,D+25
Pennsylvania,2,D+39
Pennsylvania,3,R+5
Pennsylvania,4,R+9
Pennsylvania,5,R+6
Pennsylvania,6,R+1
Pennsylvania,7,EVEN
Pennsylvania,8,D+1
Pennsylvania,9,R+10
Pennsylvania,10,R+12
Pennsylvania,11,R+6
Pennsylvania,12,R+6
Pennsylvania,13,D+12
Pennsylvania,14,D+16
Pennsylvania,15,R+2
Pennsylvania,16,R+6
Pennsylvania,17,D+4
Pennsylvania,18,R+6
Rhode Island,1,D+14
Rhode Island,2,D+8
South Carolina,1,R+11
South Carolina,2,R+14
South Carolina,3,R+16
South Carolina,4,R+15
South Carolina,5,R+9
South Carolina,6,D+17
South Carolina,7,R+7
South Dakota,AL,R+9
Tennessee,1,R+21
Tennessee,2,R+16
Tennessee,3,R+12
Tennessee,4,R+13
Tennessee,5,D+5
Tennessee,6,R+15
Tennessee,7,R+13
Tennessee,8,R+15
Tennessee,9,D+22
Texas,1,R+21
Texas,2,R+16
Texas,3,R+18
Texas,4,R+21
Texas,5,R+15
Texas,6,R+13
Texas,7,R+14
Texas,8,R+26
Texas,9,D+21
Texas,10,R+11
Texas,11,R+29
Texas,12,R+17
Texas,13,R+29
Texas,14,R+8
Texas,15,D+1
Texas,16,D+9
Texas,17,R+12
Texas,18,D+22
Texas,19,R+26
Texas,20,D+3
Texas,21,R+11
Texas,22,R+15
Texas,23,R+5
Texas,24,R+14
Texas,25,R+11
Texas,26,R+20
Texas,27,R+13
Texas,28,D+2
Texas,29,D+8
Texas,30,D+23
Texas,31,R+13
Texas,32,R+10
Texas,33,D+14
Texas,34,D+3
Texas,35,D+9
Texas,36,R+20
Utah,1,R+25
Utah,2,R+16
Utah,3,R+25
Utah,4,R+14
Vermont,AL,D+13
Virginia,1,R+8
Virginia,2,R+5
Virginia,3,D+23
Virginia,4,R+6
Virginia,5,R+6
Virginia,6,R+12
Virginia,7,R+11
Virginia,8,D+15
Virginia,9,R+11
Virginia,10,R+4
Virginia,11,D+7
Washington,1,D+3
Washington,2,D+8
Washington,3,R+2
Washington,4,R+14
Washington,5,R+6
Washington,6,D+5
Washington,7,D+28
Washington,8,R+2
Washington,9,D+15
Washington,10,D+4
West Virginia,1,R+9
West Virginia,2,R+8
West Virginia,3,R+6
Wisconsin,1,R+3
Wisconsin,2,D+16
Wisconsin,3,D+6
Wisconsin,4,D+21
Wisconsin,5,R+12
Wisconsin,6,R+5
Wisconsin,7,EVEN
Wisconsin,8,R+2
Wyoming,AL,R+20
