State,District,PVI
Louisiana,6,R+21
Maine,1,D+ 9
Maine,2,D+ 2
Maryland,1,R+14
Maryland,2,D+10
Maryland,3,D+ 9
Maryland,4,D+26
Maryland,5,D+14
Maryland,6,D+ 4
Maryland,7,D+24
Maryland,8,D+11
Massachusetts,1,D+13
Massachusetts,2,D+ 8
Massachusetts,3,D+ 6
Massachusetts,4,D+ 6
Massachusetts,5,D+14
Massachusetts,6,D+ 4
Massachusetts,7,D+31
Massachusetts,8,D+ 6
Massachusetts,9,D+ 5
Michigan,1,R+ 5
Michigan,2,R+ 7
Michigan,3,R+ 4
Michigan,4,R+ 5
Michigan,5,D+10
Michigan,6,R+ 1
Michigan,7,R+ 3
Michigan,8,R+ 2
Michigan,9,D+ 6
Michigan,10,R+ 6
Michigan,11,R+ 4
Michigan,12,D+15
Michigan,13,D+34
Michigan,14,D+29
Minnesota,1,R+ 1
Minnesota,2,R+ 2
Minnesota,3,R+ 2
Minnesota,4,D+11
Minnesota,5,D+22
Minnesota,6,R+10
Minnesota,7,R+ 6
Minnesota,8,D+ 1
Mississippi,1,R+16
Mississippi,2,D+13
Mississippi,3,R+14
Mississippi,4,R+21
Missouri,1,D+28
Missouri,2,R+ 8
Missouri,3,R+13
Missouri,4,R+13
Missouri,5,D+ 9
Missouri,6,R+12
Missouri,7,R+19
Missouri,8,R+17
Montana,AL,R+ 7
Nebraska,1,R+10
Nebraska,2,R+ 4
Nebraska,3,R+23
Nevada,1,D+14
Nevada,2,R+ 5
Nevada,3,EVEN
Nevada,4,D+ 4
New Hampshire,1,R+ 1
New Hampshire,2,D+ 3
New Jersey,1,D+13
New Jersey,2,D+ 1
New Jersey,3,R+ 1
New Jersey,4,R+ 7
New Jersey,5,R+ 4
New Jersey,6,D+ 8
New Jersey,7,R+ 6
New Jersey,8,D+24
New Jersey,9,D+14
New Jersey,10,D+34
New Jersey,11,R+ 6
New Jersey,12,D+14
New Mexico,1,D+ 7
New Mexico,2,R+ 5
New Mexico,3,D+ 8
New York,1,R+ 2
New York,2,R+ 1
New York,3,EVEN
New York,4,D+ 3
New York,5,D+35
New York,6,D+13
New York,7,D+34
New York,8,D+35
New York,9,D+32
New York,10,D+23
New York,11,R+ 2
New York,12,D+27
New York,13,D+42
New York,14,D+26
New York,15,D+43
New York,16,D+21
New York,17,D+ 5
New York,18,EVEN
New York,19,D+ 1
New York,20,D+ 7
New York,21,EVEN
New York,22,R+ 3
New York,23,R+ 3
New York,24,D+ 5
New York,25,D+ 7
New York,26,D+12
New York,27,R+ 8
North Carolina,1,D+19
North Carolina,2,R+10
North Carolina,3,R+11
North Carolina,4,D+20
North Carolina,5,R+11
North Carolina,6,R+10
North Carolina,7,R+12
North Carolina,8,R+11
North Carolina,9,R+ 8
North Carolina,10,R+11
North Carolina,11,R+13
North Carolina,12,D+26
North Carolina,13,R+ 8
North Dakota,AL,R+10
Ohio,1,R+ 6
Ohio,2,R+ 8
Ohio,3,D+17
Ohio,4,R+ 9
Ohio,5,R+ 7
Ohio,6,R+ 8
Ohio,7,R+ 6
Ohio,8,R+15
Ohio,9,D+15
Ohio,10,R+ 3
Ohio,11,D+30
Ohio,12,R+ 8
Ohio,13,D+11
Ohio,14,R+ 4
Ohio,15,R+ 6
Ohio,16,R+ 6
Oklahoma,1,R+18
Oklahoma,2,R+20
Oklahoma,3,R+26
Oklahoma,4,R+19
Oklahoma,5,R+12
Oregon,1,D+ 7
Oregon,2,R+10
Oregon,3,D+22
Oregon,4,D+ 2
Oregon,5,EVEN
Pennsylvania,1,D+28
Pennsylvania,2,D+38
Pennsylvania,3,R+ 8
Pennsylvania,4,R+ 9
Pennsylvania,5,R+ 8
Pennsylvania,6,R+ 2
Pennsylvania,7,R+ 2
Pennsylvania,8,R+ 1
Pennsylvania,9,R+14
Pennsylvania,10,R+12
Pennsylvania,11,R+ 6
Pennsylvania,12,R+ 9
Pennsylvania,13,D+13
Pennsylvania,14,D+15
Pennsylvania,15,R+ 2
Pennsylvania,16,R+ 4
Pennsylvania,17,D+ 4
Pennsylvania,18,R+10
Rhode Island,1,D+15
Rhode Island,2,D+ 8
South Carolina,1,R+11
South Carolina,2,R+16
South Carolina,3,R+18
South Carolina,4,R+15
South Carolina,5,R+ 9
South Carolina,6,D+21
South Carolina,7,R+ 7
South Dakota,AL,R+10
Tennessee,1,R+25
Tennessee,2,R+20
Tennessee,3,R+16
Tennessee,4,R+18
Tennessee,5,D+ 5
Tennessee,6,R+21
Tennessee,7,R+18
Tennessee,8,R+19
Tennessee,9,D+25
Texas,1,R+24
Texas,2,R+16
Texas,3,R+17
Texas,4,R+25
Texas,5,R+17
Texas,6,R+11
Texas,7,R+13
Texas,8,R+29
Texas,9,D+25
Texas,10,R+11
Texas,11,R+31
Texas,12,R+19
Texas,13,R+32
Texas,14,R+12
Texas,15,D+ 5
Texas,16,D+12
Texas,17,R+13
Texas,18,D+24
Texas,19,R+26
Texas,20,D+ 6
Texas,21,R+12
Texas,22,R+15
Texas,23,R+ 3
Texas,24,R+13
Texas,25,R+12
Texas,26,R+20
Texas,27,R+13
Texas,28,D+ 7
Texas,29,D+12
Texas,30,D+27
Texas,31,R+12
Texas,32,R+10
Texas,33,D+18
Texas,34,D+ 8
Texas,35,D+11
Texas,36,R+25
Utah,1,R+27
Utah,2,R+18
Utah,3,R+28
Utah,4,R+16
Vermont,AL,D+16
Virginia,1,R+ 6
Virginia,2,R+ 2
Virginia,3,D+27
Virginia,4,R+ 4
Virginia,5,R+ 5
Virginia,6,R+12
Virginia,7,R+10
Virginia,8,D+16
Virginia,9,R+15
Virginia,10,R+ 2
Virginia,11,D+10
Washington,1,D+ 4
Washington,2,D+ 8
Washington,3,R+ 2
Washington,4,R+13
Washington,5,R+ 7
Washington,6,D+ 5
Washington,7,D+29
Washington,8,R+ 1
Washington,9,D+17
Washington,10,D+ 5
West Virginia,1,R+14
West Virginia,2,R+11
West Virginia,3,R+14
Wisconsin,1,R+ 3
Wisconsin,2,D+17
Wisconsin,3,D+ 5
Wisconsin,4,D+23
Wisconsin,5,R+13
Wisconsin,6,R+ 5
Wisconsin,7,R+ 2
Wisconsin,8,R+ 2
Wyoming,AL,R+22
